name_dataset,name_location,lat,lon
Abasto,ABASTO,-35.0103681960184,-58.1151848585184
Agronomía,AGRONOMÍA,-34.5929442472726,-58.4886714155361
Almagro,ALMAGRO,-34.6092276891202,-58.4217452253939
Balvanera,BALVANERA,-34.6090997738407,-58.4030625195747
Barracas,BARRACAS,-34.6464135507847,-58.3842710319828
Barrio Norte,BARRIO NORTE,-38.8637279259729,-68.0231905596235
Belgrano,BELGRANO,-34.5548815240237,-58.4502890947349
Boca,BOCA,-34.6310700719721,-58.3568304109892
Boedo,BOEDO,-34.6299600080664,-58.4188403738383
Caballito,CABALLITO,-34.6168254996915,-58.443603110353
Catalinas,,,
Centro / Microcentro,,,
Chacarita,CHACARITA,-34.5883730730472,-58.4541748568778
Coghlan,COGHLAN,-34.5606251344745,-58.4749447458843
Colegiales,COLEGIALES,-34.5746427442082,-58.4509682045183
Congreso,,,
Constitución,CONSTITUCIÓN,-34.6250478642294,-58.384387226424
Flores,FLORES,-34.6368070795903,-58.4582698515258
Floresta,FLORESTA,-34.6276862905939,-58.4835872783595
Las Cañitas,,,
Liniers,LINIERS,-34.6437960835294,-58.5191298958228
Mataderos,MATADEROS,-34.6583682885816,-58.5017319521437
Monserrat,MONSERRAT,-34.6126880821742,-58.379652044818
Monte Castro,MONTE CASTRO,-34.6192974826904,-58.5065803391285
Nuñez,NUÑEZ,-34.5437376606688,-58.4628575470422
Once,,,
Palermo,PALERMO,-34.5738999836423,-58.4224364523189
Parque Avellaneda,PARQUE AVELLANEDA,-34.64864128675,-58.47645640345
Parque Centenario,,,
Parque Chacabuco,PARQUE CHACABUCO,-34.6359392274734,-58.4376956019926
Parque Chas,PARQUE CHAS,-34.5855218978064,-58.4791226108546
Parque Patricios,PARQUE PATRICIOS,-34.6375496406835,-58.4016756206755
Paternal,PATERNAL,-34.5974220425569,-58.4686652940674
Pompeya,,,
Puerto Madero,PUERTO MADERO,-34.6092161933037,-58.3563809151849
Recoleta,RECOLETA,-34.5858760078165,-58.3949961802632
Retiro,RETIRO,-34.5884243429366,-58.3759359131827
Saavedra,SAAVEDRA,-37.7636402199499,-62.3506328041255
San Cristobal,SAN CRISTOBAL,-30.311687011314,-61.2386444593771
San Nicolás,SAN NICOLÁS,-34.6036683192305,-58.3805143256131
San Telmo,SAN TELMO,-34.6215200115838,-58.3715453876304
Tribunales,,,
Velez Sarsfield,VELEZ SARSFIELD,-34.6313610222,-58.493276996941
Versalles,VERSALLES,-34.6301234618064,-58.5224017483433
Villa Crespo,VILLA CRESPO,-34.5988344062647,-58.4427221412974
Villa Devoto,VILLA DEVOTO,-34.6023803136553,-58.5142437101484
Villa General Mitre,VILLA GENERAL MITRE,-29.1446444838565,-62.6541996550291
Villa Lugano,VILLA LUGANO,-34.6749935792889,-58.4761629844706
Villa Luro,VILLA LURO,-34.6364127783977,-58.5027288050931
Villa Ortuzar,VILLA ORTUZAR,-34.5809741138535,-58.4676516664339
Villa Pueyrredón,VILLA PUEYRREDÓN,-34.5821104495703,-58.5034848793052
Villa Real,VILLA REAL,-34.6194831337073,-58.5259860729102
Villa Riachuelo,VILLA RIACHUELO,-34.6918955269685,-58.4632519393435
Villa Santa Rita,VILLA SANTA RITA,-34.6161936201559,-58.4829573518477
Villa Soldati,VILLA SOLDATI,-34.6654688444976,-58.4465225253229
Villa Urquiza,VILLA URQUIZA,-31.6507506100701,-60.3775855159669
Villa del Parque,VILLA DEL PARQUE,-39.1258079817539,-66.9976300412367
